名前,よみ,カテゴリ,主な使用者,主な魔法の使用者,具体的な魔術,関連キャラ（出身地）,関連キャラ（出身家系）,関連キャラ（在籍中）,関連キャラ（種族）,関連キャラ（過去に所属）
魔法：無幻,,魔法体系,,ティリアシール・フリーマン (%E3%82%AD%E3%83%A3%E3%83%A9%E3%82%AF%E3%82%BF%E3%83%BC/%E3%83%86%E3%82%A3%E3%83%AA%E3%82%A2%E3%82%B7%E3%83%BC%E3%83%AB%E3%83%BB%E3%83%95%E3%83%AA%E3%83%BC%E3%83%9E%E3%83%B3%20fe29b4a814694d4ba8dfc3e0ad1cfab2.csv),,,,,,
魔法：叙説,,魔法体系,,ティリアシール・フリーマン (%E3%82%AD%E3%83%A3%E3%83%A9%E3%82%AF%E3%82%BF%E3%83%BC/%E3%83%86%E3%82%A3%E3%83%AA%E3%82%A2%E3%82%B7%E3%83%BC%E3%83%AB%E3%83%BB%E3%83%95%E3%83%AA%E3%83%BC%E3%83%9E%E3%83%B3%20fe29b4a814694d4ba8dfc3e0ad1cfab2.csv),,,,,,
魔術体系：夢幻,,魔術体系,,,夢遊飛行 (%E7%99%BB%E5%A0%B4%E9%AD%94%E8%A1%93%E3%83%BB%E9%AD%94%E6%B3%95/%E5%A4%A2%E9%81%8A%E9%A3%9B%E8%A1%8C%20c1b6cf84fba4415e940976f274672ebf.csv),,,,,
天体魔術,てんたいまじゅつ,魔術体系,アリス・アグラニオケ・セイファート (%E3%82%AD%E3%83%A3%E3%83%A9%E3%82%AF%E3%82%BF%E3%83%BC/%E3%82%A2%E3%83%AA%E3%82%B9%E3%83%BB%E3%82%A2%E3%82%B0%E3%83%A9%E3%83%8B%E3%82%AA%E3%82%B1%E3%83%BB%E3%82%BB%E3%82%A4%E3%83%95%E3%82%A1%E3%83%BC%E3%83%88%200d8f91cc82dc4b86b4d4ec2813790545.csv),,"月引き下ろす魔女成す落星 (%E7%99%BB%E5%A0%B4%E9%AD%94%E8%A1%93%E3%83%BB%E9%AD%94%E6%B3%95/%E6%9C%88%E5%BC%95%E3%81%8D%E4%B8%8B%E3%82%8D%E3%81%99%E9%AD%94%E5%A5%B3%E6%88%90%E3%81%99%E8%90%BD%E6%98%9F%20b5dff1f83600486f90cf26394789d2fd.csv), 其れは、天濡らす時雨の如く (%E7%99%BB%E5%A0%B4%E9%AD%94%E8%A1%93%E3%83%BB%E9%AD%94%E6%B3%95/%E5%85%B6%E3%82%8C%E3%81%AF%E3%80%81%E5%A4%A9%E6%BF%A1%E3%82%89%E3%81%99%E6%99%82%E9%9B%A8%E3%81%AE%E5%A6%82%E3%81%8F%20f80e1e6092ed4a839e6df9198ee81128.csv)",,,,,
魔法：昇華,アセンション,魔法体系,,アリス・アグラニオケ・セイファート (%E3%82%AD%E3%83%A3%E3%83%A9%E3%82%AF%E3%82%BF%E3%83%BC/%E3%82%A2%E3%83%AA%E3%82%B9%E3%83%BB%E3%82%A2%E3%82%B0%E3%83%A9%E3%83%8B%E3%82%AA%E3%82%B1%E3%83%BB%E3%82%BB%E3%82%A4%E3%83%95%E3%82%A1%E3%83%BC%E3%83%88%200d8f91cc82dc4b86b4d4ec2813790545.csv),,,,,,
魔法：踏破,クライム,魔法体系,,アリス・アグラニオケ・セイファート (%E3%82%AD%E3%83%A3%E3%83%A9%E3%82%AF%E3%82%BF%E3%83%BC/%E3%82%A2%E3%83%AA%E3%82%B9%E3%83%BB%E3%82%A2%E3%82%B0%E3%83%A9%E3%83%8B%E3%82%AA%E3%82%B1%E3%83%BB%E3%82%BB%E3%82%A4%E3%83%95%E3%82%A1%E3%83%BC%E3%83%88%200d8f91cc82dc4b86b4d4ec2813790545.csv),,,,,,
レスカローネ,,地名,,,,セリナ・アグラニオケ・スピーゲル (%E3%82%AD%E3%83%A3%E3%83%A9%E3%82%AF%E3%82%BF%E3%83%BC/%E3%82%BB%E3%83%AA%E3%83%8A%E3%83%BB%E3%82%A2%E3%82%B0%E3%83%A9%E3%83%8B%E3%82%AA%E3%82%B1%E3%83%BB%E3%82%B9%E3%83%94%E3%83%BC%E3%82%B2%E3%83%AB%20cceee9df12b749c7be0c0896bef376d5.csv),,,,
ポートリーバス,ぽーとりーばす,地名,,,,フレア・クライヴ (%E3%82%AD%E3%83%A3%E3%83%A9%E3%82%AF%E3%82%BF%E3%83%BC/%E3%83%95%E3%83%AC%E3%82%A2%E3%83%BB%E3%82%AF%E3%83%A9%E3%82%A4%E3%83%B4%20218ba867bf444ae6bfe952818e551b96.csv),,,,
ガルドレア家,がるどれあけ,家系,,,,,フレア・クライヴ (%E3%82%AD%E3%83%A3%E3%83%A9%E3%82%AF%E3%82%BF%E3%83%BC/%E3%83%95%E3%83%AC%E3%82%A2%E3%83%BB%E3%82%AF%E3%83%A9%E3%82%A4%E3%83%B4%20218ba867bf444ae6bfe952818e551b96.csv),,,
ハーフエルフ,はーふえるふ,種族,,,,,,,フレア・クライヴ (%E3%82%AD%E3%83%A3%E3%83%A9%E3%82%AF%E3%82%BF%E3%83%BC/%E3%83%95%E3%83%AC%E3%82%A2%E3%83%BB%E3%82%AF%E3%83%A9%E3%82%A4%E3%83%B4%20218ba867bf444ae6bfe952818e551b96.csv),
魔術,まじゅつ,魔術用語,,,,,,,,
自然魔術,,魔術用語,,,,,,,,
人工魔術,,魔術用語,,,,,,,,
神授魔術,,魔術用語,,,,,,,,
属性転換,,魔術用語,,,,,,,,
魔力,まりょく,魔術用語,,,,,,,,
アイテール界,,魔術用語,,,,,,,,
錬金術,錬金術,魔術用語,,,,,,,,
